year,country,population
2017,Japan,126972000.0
2018,Japan,126811000.0
2019,Japan,126633000.0
2020,Japan,126261000.0
2021,Japan,125681593.0
2022,Japan,125124989.0
2023,Japan,124516650.0
1985,Malaysia,15252258.0
1986,Malaysia,15760419.0
1987,Malaysia,16276737.0
1988,Malaysia,16796605.0
1989,Malaysia,17314997.0
1990,Malaysia,17833171.0
1991,Malaysia,18342464.0
1992,Malaysia,18834572.0
1993,Malaysia,19322664.0
1994,Malaysia,19820446.0
1995,Malaysia,20330599.0
1996,Malaysia,20850087.0
1997,Malaysia,21375218.0
1998,Malaysia,21906713.0
1999,Malaysia,22435531.0
2000,Malaysia,22967816.0
2001,Malaysia,23526538.0
2002,Malaysia,24102477.0
2003,Malaysia,24679602.0
2004,Malaysia,25256772.0
2005,Malaysia,25836071.0
2006,Malaysia,26417909.0
2007,Malaysia,26998389.0
2008,Malaysia,27570059.0
2009,Malaysia,28124778.0
2010,Malaysia,28655776.0
2011,Malaysia,29162039.0
2012,Malaysia,29662831.0
2013,Malaysia,30174265.0
2014,Malaysia,30696137.0
2015,Malaysia,31232798.0
2016,Malaysia,31789685.0
2017,Malaysia,32355644.0
2018,Malaysia,32910967.0
2019,Malaysia,33440596.0
2020,Malaysia,33889558.0
2021,Malaysia,34282399.0
2022,Malaysia,34695493.0
2023,Malaysia,35126298.0
1985,Thailand,50270753.0
1986,Thailand,51177834.0
1987,Thailand,52074105.0
1988,Thailand,52969595.0
1989,Thailand,53848956.0
1990,Thailand,54738329.0
1991,Thailand,55637434.0
1992,Thailand,56528834.0
1993,Thailand,57408198.0
1994,Thailand,58260854.0
1995,Thailand,59098232.0
1996,Thailand,59920064.0
1997,Thailand,60724584.0
1998,Thailand,61522630.0
1999,Thailand,62299043.0
2000,Thailand,63007815.0
2001,Thailand,63651141.0
2002,Thailand,64266437.0
2003,Thailand,64868166.0
2004,Thailand,65452047.0
2005,Thailand,66017420.0
2006,Thailand,66567687.0
2007,Thailand,67102394.0
2008,Thailand,67619830.0
2009,Thailand,68121080.0
2010,Thailand,68579447.0
2011,Thailand,69007208.0
2012,Thailand,69436098.0
2013,Thailand,69845114.0
2014,Thailand,70216367.0
2015,Thailand,70540795.0
2016,Thailand,70859841.0
2017,Thailand,71160187.0
2018,Thailand,71376079.0
2019,Thailand,71522271.0
2020,Thailand,71641484.0
2021,Thailand,71727332.0
2022,Thailand,71735329.0
2023,Thailand,71702435.0
1985,Hungary,10648713.0
1986,Hungary,10630564.0
1987,Hungary,10612741.0
1988,Hungary,10596487.0
1989,Hungary,10481719.0
1990,Hungary,10373988.0
1991,Hungary,10373400.0
1992,Hungary,10369341.0
1993,Hungary,10357523.0
1994,Hungary,10343355.0
1995,Hungary,10328965.0
1996,Hungary,10311238.0
1997,Hungary,10290486.0
1998,Hungary,10266570.0
1999,Hungary,10237530.0
2000,Hungary,10210971.0
2001,Hungary,10187576.0
2002,Hungary,10158608.0
2003,Hungary,10129552.0
2004,Hungary,10107146.0
2005,Hungary,10087065.0
2006,Hungary,10071370.0
2007,Hungary,10055780.0
2008,Hungary,10038188.0
2009,Hungary,10022650.0
2010,Hungary,10000023.0
2011,Hungary,9971727.0
2012,Hungary,9920362.0
2013,Hungary,9893082.0
2014,Hungary,9866468.0
2015,Hungary,9843028.0
2016,Hungary,9814023.0
2017,Hungary,9787966.0
2018,Hungary,9775564.0
2019,Hungary,9771141.0
2020,Hungary,9750149.0
2021,Hungary,9709891.0
2022,Hungary,9644377.0
2023,Hungary,9592186.0
1985,Romania,22732999.0
1986,Romania,22836841.0
1987,Romania,22949430.0
1988,Romania,23057662.0
1989,Romania,23161458.0
1990,Romania,23201835.0
1991,Romania,23001155.0
1992,Romania,22794284.0
1993,Romania,22763280.0
1994,Romania,22730211.0
1995,Romania,22684270.0
1996,Romania,22619004.0
1997,Romania,22553978.0
1998,Romania,22507344.0
1999,Romania,22472040.0
2000,Romania,22442971.0
2001,Romania,22131970.0
2002,Romania,21730496.0
2003,Romania,21574326.0
2004,Romania,21451748.0
2005,Romania,21319685.0
2006,Romania,21193760.0
2007,Romania,20882982.0
2008,Romania,20537875.0
2009,Romania,20367487.0
2010,Romania,20246871.0
2011,Romania,20147528.0
2012,Romania,20058035.0
2013,Romania,19983693.0
2014,Romania,19908979.0
2015,Romania,19815616.0
2016,Romania,19702267.0
2017,Romania,19588715.0
2018,Romania,19473970.0
2019,Romania,19371648.0
2020,Romania,19265250.0
2021,Romania,19122059.0
2022,Romania,19048502.0
2023,Romania,19059479.0
1985,Serbia,7835902.0
1986,Serbia,7853824.0
1987,Serbia,7868027.0
1988,Serbia,7884218.0
1989,Serbia,7893787.0
1990,Serbia,7897937.0
1991,Serbia,7595636.0
1992,Serbia,7604063.0
1993,Serbia,7614328.0
1994,Serbia,7622711.0
1995,Serbia,7628264.0
1996,Serbia,7622185.0
1997,Serbia,7598538.0
1998,Serbia,7567745.0
1999,Serbia,7540401.0
2000,Serbia,7516346.0
2001,Serbia,7503433.0
2002,Serbia,7500031.0
2003,Serbia,7480591.0
2004,Serbia,7463157.0
2005,Serbia,7440769.0
2006,Serbia,7411569.0
2007,Serbia,7381579.0
2008,Serbia,7350222.0
2009,Serbia,7320807.0
2010,Serbia,7291436.0
2011,Serbia,7236519.0
2012,Serbia,7201497.0
2013,Serbia,7166553.0
2014,Serbia,7131787.0
2015,Serbia,7095383.0
2016,Serbia,7058322.0
2017,Serbia,7020858.0
2018,Serbia,6982604.0
2019,Serbia,6945235.0
2020,Serbia,6899126.0
2021,Serbia,6834326.0
2022,Serbia,6664449.0
2023,Serbia,6623183.0
1985,Bulgaria,8960547.0
1986,Bulgaria,8958171.0
1987,Bulgaria,8971359.0
1988,Bulgaria,8981446.0
1989,Bulgaria,8876972.0
1990,Bulgaria,8718289.0
1991,Bulgaria,8632367.0
1992,Bulgaria,8540164.0
1993,Bulgaria,8472313.0
1994,Bulgaria,8443591.0
1995,Bulgaria,8406067.0
1996,Bulgaria,8362826.0
1997,Bulgaria,8312068.0
1998,Bulgaria,8256786.0
1999,Bulgaria,8210624.0
2000,Bulgaria,8170172.0
2001,Bulgaria,8009142.0
2002,Bulgaria,7837161.0
2003,Bulgaria,7775327.0
2004,Bulgaria,7716860.0
2005,Bulgaria,7658972.0
2006,Bulgaria,7601022.0
2007,Bulgaria,7545338.0
2008,Bulgaria,7492561.0
2009,Bulgaria,7444443.0
2010,Bulgaria,7395599.0
2011,Bulgaria,7348328.0
2012,Bulgaria,7305888.0
2013,Bulgaria,7265115.0
2014,Bulgaria,7223938.0
2015,Bulgaria,7177991.0
2016,Bulgaria,7127822.0
2017,Bulgaria,7075947.0
2018,Bulgaria,7025037.0
2019,Bulgaria,6975761.0
2020,Bulgaria,6934015.0
2021,Bulgaria,6877743.0
2022,Bulgaria,6643324.0
2023,Bulgaria,6446596.0
1985,Ukraine,51108770.0
1986,Ukraine,51318745.0
1987,Ukraine,51515732.0
1988,Ukraine,51724853.0
1989,Ukraine,51917817.0
1990,Ukraine,52054092.0
1991,Ukraine,52170961.0
1992,Ukraine,52323671.0
1993,Ukraine,52350126.0
1994,Ukraine,52075998.0
1995,Ukraine,51665539.0
1996,Ukraine,51226109.0
1997,Ukraine,50786885.0
1998,Ukraine,50379731.0
1999,Ukraine,49976446.0
2000,Ukraine,49556660.0
2001,Ukraine,49106855.0
2002,Ukraine,48677281.0
2003,Ukraine,48315136.0
2004,Ukraine,47979507.0
2005,Ukraine,47585556.0
2006,Ukraine,47278694.0
2007,Ukraine,47062798.0
2008,Ukraine,46819175.0
2009,Ukraine,46623731.0
2010,Ukraine,46456003.0
2011,Ukraine,46307853.0
2012,Ukraine,46210056.0
2013,Ukraine,46126770.0
2014,Ukraine,45972380.0
2015,Ukraine,45784896.0
2016,Ukraine,45616832.0
2017,Ukraine,45436041.0
2018,Ukraine,45208907.0
2019,Ukraine,44957458.0
2020,Ukraine,44680014.0
2021,Ukraine,44298640.0
2022,Ukraine,41048766.0
2023,Ukraine,37732836.0
1985,Switzerland,6470365.0
1986,Switzerland,6504124.0
1987,Switzerland,6545106.0
1988,Switzerland,6593386.0
1989,Switzerland,6646912.0
1990,Switzerland,6715519.0
1991,Switzerland,6799978.0
1992,Switzerland,6875364.0
1993,Switzerland,6938265.0
1994,Switzerland,6993795.0
1995,Switzerland,7040687.0
1996,Switzerland,7071850.0
1997,Switzerland,7088906.0
1998,Switzerland,7110001.0
1999,Switzerland,7143991.0
2000,Switzerland,7184250.0
2001,Switzerland,7229854.0
2002,Switzerland,7284753.0
2003,Switzerland,7339001.0
2004,Switzerland,7389625.0
2005,Switzerland,7437115.0
2006,Switzerland,7483934.0
2007,Switzerland,7551117.0
2008,Switzerland,7647675.0
2009,Switzerland,7743831.0
2010,Switzerland,7824909.0
2011,Switzerland,7912398.0
2012,Switzerland,7996861.0
2013,Switzerland,8089346.0
2014,Switzerland,8188649.0
2015,Switzerland,8282396.0
2016,Switzerland,8373338.0
2017,Switzerland,8451840.0
2018,Switzerland,8514329.0
2019,Switzerland,8575280.0
2020,Switzerland,8638167.0
2021,Switzerland,8704546.0
2022,Switzerland,8777088.0
2023,Switzerland,8888093.0
1985,Norway,4152516.0
1986,Norway,4167354.0
1987,Norway,4186905.0
1988,Norway,4209488.0
1989,Norway,4226901.0
1990,Norway,4241473.0
1991,Norway,4261732.0
1992,Norway,4286401.0
1993,Norway,4311991.0
1994,Norway,4336613.0
1995,Norway,4359184.0
1996,Norway,4381336.0
1997,Norway,4405157.0
1998,Norway,4431464.0
1999,Norway,4461913.0
2000,Norway,4490967.0
2001,Norway,4513751.0
2002,Norway,4538159.0
2003,Norway,4564855.0
2004,Norway,4591910.0
2005,Norway,4623291.0
2006,Norway,4660677.0
2007,Norway,4709153.0
2008,Norway,4768212.0
2009,Norway,4828726.0
2010,Norway,4889252.0
2011,Norway,4953088.0
2012,Norway,5018573.0
2013,Norway,5079623.0
2014,Norway,5137232.0
2015,Norway,5188607.0
2016,Norway,5234519.0
2017,Norway,5276968.0
2018,Norway,5311916.0
2019,Norway,5347896.0
2020,Norway,5379475.0
2021,Norway,5408320.0
2022,Norway,5457127.0
2023,Norway,5519594.0
1985,Iceland,241405.0
1986,Iceland,243180.0
1987,Iceland,245859.0
1988,Iceland,249740.0
1989,Iceland,252852.0
1990,Iceland,254826.0
1991,Iceland,257797.0
1992,Iceland,261057.0
1993,Iceland,263725.0
1994,Iceland,266021.0
1995,Iceland,267468.0
1996,Iceland,268916.0
1997,Iceland,271128.0
1998,Iceland,274047.0
1999,Iceland,277381.0
2000,Iceland,281205.0
2001,Iceland,284968.0
2002,Iceland,287523.0
2003,Iceland,289521.0
2004,Iceland,292074.0
2005,Iceland,296734.0
2006,Iceland,303782.0
2007,Iceland,311566.0
2008,Iceland,317414.0
2009,Iceland,318499.0
2010,Iceland,318041.0
2011,Iceland,319014.0
2012,Iceland,320716.0
2013,Iceland,323764.0
2014,Iceland,327386.0
2015,Iceland,330815.0
2016,Iceland,335439.0
2017,Iceland,343400.0
2018,Iceland,352721.0
2019,Iceland,360563.0
2020,Iceland,366463.0
2021,Iceland,372520.0
2022,Iceland,382003.0
2023,Iceland,393349.0
1985,Denmark,5113691.0
1986,Denmark,5120534.0
1987,Denmark,5127024.0
1988,Denmark,5129516.0
1989,Denmark,5132594.0
1990,Denmark,5140939.0
1991,Denmark,5154298.0
1992,Denmark,5171370.0
1993,Denmark,5188628.0
1994,Denmark,5206180.0
1995,Denmark,5233373.0
1996,Denmark,5263074.0
1997,Denmark,5284991.0
1998,Denmark,5304219.0
1999,Denmark,5321799.0
2000,Denmark,5339616.0
2001,Denmark,5358783.0
2002,Denmark,5375931.0
2003,Denmark,5390574.0
2004,Denmark,5404523.0
2005,Denmark,5419432.0
2006,Denmark,5437272.0
2007,Denmark,5461438.0
2008,Denmark,5493621.0
2009,Denmark,5523095.0
2010,Denmark,5547683.0
2011,Denmark,5570572.0
2012,Denmark,5591572.0
2013,Denmark,5614932.0
2014,Denmark,5643475.0
2015,Denmark,5683483.0
2016,Denmark,5728010.0
2017,Denmark,5764980.0
2018,Denmark,5793636.0
2019,Denmark,5814422.0
2020,Denmark,5831404.0
2021,Denmark,5856733.0
2022,Denmark,5903037.0
2023,Denmark,5946952.0
1985,Sweden,8350386.0
1986,Sweden,8369829.0
1987,Sweden,8397804.0
1988,Sweden,8436489.0
1989,Sweden,8492964.0
1990,Sweden,8558835.0
1991,Sweden,8617375.0
1992,Sweden,8668067.0
1993,Sweden,8718561.0
1994,Sweden,8780745.0
1995,Sweden,8826939.0
1996,Sweden,8840998.0
1997,Sweden,8846062.0
1998,Sweden,8850974.0
1999,Sweden,8857874.0
2000,Sweden,8872109.0
2001,Sweden,8895960.0
2002,Sweden,8924958.0
2003,Sweden,8958229.0
2004,Sweden,8993531.0
2005,Sweden,9029572.0
2006,Sweden,9080505.0
2007,Sweden,9148092.0
2008,Sweden,9219637.0
2009,Sweden,9298515.0
2010,Sweden,9378126.0
2011,Sweden,9449213.0
2012,Sweden,9519374.0
2013,Sweden,9600379.0
2014,Sweden,9696110.0
2015,Sweden,9799186.0
2016,Sweden,9923085.0
2017,Sweden,10057698.0
2018,Sweden,10175214.0
2019,Sweden,10278887.0
2020,Sweden,10353442.0
2021,Sweden,10415811.0
2022,Sweden,10486941.0
2023,Sweden,10536632.0
1985,Oman,1325480.0
1986,Oman,1413419.0
1987,Oman,1500996.0
1988,Oman,1588568.0
1989,Oman,1676228.0
1990,Oman,1763954.0
1991,Oman,1851473.0
1992,Oman,1938238.0
1993,Oman,2021675.0
1994,Oman,2081834.0
1995,Oman,2120528.0
1996,Oman,2156926.0
1997,Oman,2190720.0
1998,Oman,2222489.0
1999,Oman,2252909.0
2000,Oman,2282131.0
2001,Oman,2310217.0
2002,Oman,2337140.0
2003,Oman,2363796.0
2004,Oman,2404821.0
2005,Oman,2459802.0
2006,Oman,2514795.0
2007,Oman,2570174.0
2008,Oman,2626529.0
2009,Oman,2684659.0
2010,Oman,2757446.0
2011,Oman,3076763.0
2012,Oman,3547106.0
2013,Oman,3833913.0
2014,Oman,4002439.0
2015,Oman,4184895.0
2016,Oman,4390877.0
2017,Oman,4537396.0
2018,Oman,4597877.0
2019,Oman,4591241.0
2020,Oman,4522497.0
2021,Oman,4500424.0
2022,Oman,4730226.0
2023,Oman,5049269.0
1985,Jordan,2778810.0
1986,Jordan,2909887.0
1987,Jordan,3047634.0
1988,Jordan,3193039.0
1989,Jordan,3349627.0
1990,Jordan,3621908.0
1991,Jordan,3915149.0
1992,Jordan,4127693.0
1993,Jordan,4348020.0
1994,Jordan,4561406.0
1995,Jordan,4752096.0
1996,Jordan,4912516.0
1997,Jordan,5046285.0
1998,Jordan,5164284.0
1999,Jordan,5276444.0
2000,Jordan,5386945.0
2001,Jordan,5498894.0
2002,Jordan,5616066.0
2003,Jordan,5741828.0
2004,Jordan,5882061.0
2005,Jordan,6029587.0
2006,Jordan,6427371.0
2007,Jordan,6827227.0
2008,Jordan,6989866.0
2009,Jordan,7141753.0
2010,Jordan,7297043.0
2011,Jordan,7480424.0
2012,Jordan,7587127.0
2013,Jordan,7991809.0
2014,Jordan,8791710.0
2015,Jordan,9544729.0
2016,Jordan,10006367.0
2017,Jordan,10234226.0
2018,Jordan,10462306.0
2019,Jordan,10671891.0
2020,Jordan,10865228.0
2021,Jordan,11066356.0
2022,Jordan,11256263.0
2023,Jordan,11439213.0
1985,Lebanon,3217376.0
1986,Lebanon,3300365.0
1987,Lebanon,3385555.0
1988,Lebanon,3454649.0
1989,Lebanon,3525285.0
1990,Lebanon,3595175.0
1991,Lebanon,3668912.0
1992,Lebanon,3747371.0
1993,Lebanon,3820647.0
1994,Lebanon,3889799.0
1995,Lebanon,3960735.0
1996,Lebanon,4034781.0
1997,Lebanon,4108405.0
1998,Lebanon,4181281.0
1999,Lebanon,4255277.0
2000,Lebanon,4329340.0
2001,Lebanon,4401918.0
2002,Lebanon,4463504.0
2003,Lebanon,4525508.0
2004,Lebanon,4599279.0
2005,Lebanon,4671102.0
2006,Lebanon,4751136.0
2007,Lebanon,4844118.0
2008,Lebanon,4925354.0
2009,Lebanon,4992287.0
2010,Lebanon,5041288.0
2011,Lebanon,5096020.0
2012,Lebanon,5235742.0
2013,Lebanon,5743436.0
2014,Lebanon,6346990.0
2015,Lebanon,6472469.0
2016,Lebanon,6323060.0
2017,Lebanon,6160128.0
2018,Lebanon,5984119.0
2019,Lebanon,5794594.0
2020,Lebanon,5702398.0
2021,Lebanon,5718122.0
2022,Lebanon,5744489.0
2023,Lebanon,5773493.0
1985,Iraq,15683430.0
1986,Iraq,16074145.0
1987,Iraq,16521049.0
1988,Iraq,16908819.0
1989,Iraq,17364542.0
1990,Iraq,17581206.0
1991,Iraq,17767253.0
1992,Iraq,18300845.0
1993,Iraq,19201195.0
1994,Iraq,20139807.0
1995,Iraq,20825860.0
1996,Iraq,21501321.0
1997,Iraq,22176593.0
1998,Iraq,22884399.0
1999,Iraq,23636527.0
2000,Iraq,24424056.0
2001,Iraq,25197840.0
2002,Iraq,26006559.0
2003,Iraq,26802659.0
2004,Iraq,27577878.0
2005,Iraq,28407448.0
2006,Iraq,28616515.0
2007,Iraq,28391607.0
2008,Iraq,28971036.0
2009,Iraq,30058206.0
2010,Iraq,31045366.0
2011,Iraq,32161424.0
2012,Iraq,33654842.0
2013,Iraq,35281989.0
2014,Iraq,36550059.0
2015,Iraq,37560535.0
2016,Iraq,38469627.0
2017,Iraq,39337353.0
2018,Iraq,40265624.0
2019,Iraq,41192171.0
2020,Iraq,42116605.0
2021,Iraq,43071211.0
2022,Iraq,44070551.0
2023,Iraq,45074049.0
1985,Yemen,11453825.0
1986,Yemen,11901040.0
1987,Yemen,12369912.0
1988,Yemen,12859708.0
1989,Yemen,13364174.0
1990,Yemen,13887862.0
1991,Yemen,14430201.0
1992,Yemen,14989494.0
1993,Yemen,15563914.0
1994,Yemen,16149147.0
1995,Yemen,16740058.0
1996,Yemen,17313177.0
1997,Yemen,17873936.0
1998,Yemen,18446013.0
1999,Yemen,19029420.0
2000,Yemen,19624141.0
2001,Yemen,20226147.0
2002,Yemen,20835086.0
2003,Yemen,21456379.0
2004,Yemen,22095167.0
2005,Yemen,22790085.0
2006,Yemen,23543083.0
2007,Yemen,24318082.0
2008,Yemen,25111941.0
2009,Yemen,25927724.0
2010,Yemen,26754387.0
2011,Yemen,27582897.0
2012,Yemen,28433647.0
2013,Yemen,29312952.0
2014,Yemen,30226309.0
2015,Yemen,31159379.0
2016,Yemen,32109010.0
2017,Yemen,33090921.0
2018,Yemen,34085182.0
2019,Yemen,35111408.0
2020,Yemen,36134863.0
2021,Yemen,37140230.0
2022,Yemen,38222876.0
2023,Yemen,39390799.0
1985,United Arab Emirates,1377911.0
1986,United Arab Emirates,1467383.0
1987,United Arab Emirates,1574244.0
1988,United Arab Emirates,1681788.0
1989,United Arab Emirates,1789851.0
1990,United Arab Emirates,1898220.0
1991,United Arab Emirates,2006626.0
1992,United Arab Emirates,2114730.0
1993,United Arab Emirates,2222093.0
1994,United Arab Emirates,2328188.0
1995,United Arab Emirates,2434662.0
1996,United Arab Emirates,2597564.0
1997,United Arab Emirates,2817410.0
1998,United Arab Emirates,3040421.0
1999,United Arab Emirates,3266009.0
2000,United Arab Emirates,3493575.0
2001,United Arab Emirates,3723590.0
2002,United Arab Emirates,3956826.0
2003,United Arab Emirates,4192457.0
2004,United Arab Emirates,4428967.0
2005,United Arab Emirates,4664790.0
2006,United Arab Emirates,5009100.0
2007,United Arab Emirates,5624635.0
2008,United Arab Emirates,6302664.0
2009,United Arab Emirates,6707058.0
2010,United Arab Emirates,6869838.0
2011,United Arab Emirates,7104538.0
2012,United Arab Emirates,7391448.0
2013,United Arab Emirates,7693031.0
2014,United Arab Emirates,8059440.0
2015,United Arab Emirates,8505237.0
2016,United Arab Emirates,8935095.0
2017,United Arab Emirates,9223225.0
2018,United Arab Emirates,9346701.0
2019,United Arab Emirates,9445785.0
2020,United Arab Emirates,9401038.0
2021,United Arab Emirates,9575152.0
2022,United Arab Emirates,10074977.0
2023,United Arab Emirates,10483751.0
1985,Israel,4233000.0
1986,Israel,4299000.0
1987,Israel,4369000.0
1988,Israel,4442000.0
1989,Israel,4518000.0
1990,Israel,4660000.0
1991,Israel,4949000.0
1992,Israel,5123000.0
1993,Israel,5261000.0
1994,Israel,5399000.0
1995,Israel,5545000.0
1996,Israel,5692000.0
1997,Israel,5836000.0
1998,Israel,5971000.0
1999,Israel,6125000.0
2000,Israel,6289000.0
2001,Israel,6439000.0
2002,Israel,6570000.0
2003,Israel,6689700.0
2004,Israel,6809000.0
2005,Israel,6930100.0
2006,Israel,7053700.0
2007,Israel,7180100.0
2008,Israel,7308800.0
2009,Israel,7485600.0
2010,Israel,7623600.0
2011,Israel,7765800.0
2012,Israel,7910500.0
2013,Israel,8059500.0
2014,Israel,8215700.0
2015,Israel,8380100.0
2016,Israel,8546000.0
2017,Israel,8713300.0
2018,Israel,8882800.0
2019,Israel,9054000.0
2020,Israel,9215100.0
2021,Israel,9371400.0
2022,Israel,9557500.0
2023,Israel,9756600.0
1985,Bahrain,430358.0
1986,Bahrain,446286.0
1987,Bahrain,462854.0
1988,Bahrain,479929.0
1989,Bahrain,497327.0
1990,Bahrain,514797.0
1991,Bahrain,503052.0
1992,Bahrain,516458.0
1993,Bahrain,530225.0
1994,Bahrain,544366.0
1995,Bahrain,558879.0
1996,Bahrain,573792.0
1997,Bahrain,589115.0
1998,Bahrain,604842.0
1999,Bahrain,620989.0
2000,Bahrain,637582.0
2001,Bahrain,661316.0
2002,Bahrain,710553.0
2003,Bahrain,764517.0
2004,Bahrain,823741.0
2005,Bahrain,888822.0
2006,Bahrain,960424.0
2007,Bahrain,1039295.0
2008,Bahrain,1103496.0
2009,Bahrain,1178415.0
2010,Bahrain,1228543.0
2011,Bahrain,1195020.0
2012,Bahrain,1208964.0
2013,Bahrain,1253191.0
2014,Bahrain,1314562.0
2015,Bahrain,1370322.0
2016,Bahrain,1423726.0
2017,Bahrain,1501116.0
2018,Bahrain,1503091.0
2019,Bahrain,1483756.0
2020,Bahrain,1472204.0
2021,Bahrain,1504365.0
2022,Bahrain,1524693.0
2023,Bahrain,1577059.0
1985,Qatar,365940.0
1986,Qatar,382422.0
1987,Qatar,397005.0
1988,Qatar,411264.0
1989,Qatar,425646.0
1990,Qatar,440175.0
1991,Qatar,454853.0
1992,Qatar,469657.0
1993,Qatar,484545.0
1994,Qatar,499459.0
1995,Qatar,514325.0
1996,Qatar,529019.0
1997,Qatar,550500.0
1998,Qatar,580540.0
1999,Qatar,612500.0
2000,Qatar,644989.0
2001,Qatar,677925.0
2002,Qatar,711205.0
2003,Qatar,744682.0
2004,Qatar,773332.0
2005,Qatar,825408.0
2006,Qatar,972831.0
2007,Qatar,1208595.0
2008,Qatar,1426938.0
2009,Qatar,1608903.0
2010,Qatar,1616832.0
2011,Qatar,1624761.0
2012,Qatar,1722438.0
2013,Qatar,1916426.0
2014,Qatar,2151745.0
2015,Qatar,2344557.0
2016,Qatar,2477113.0
2017,Qatar,2545820.0
2018,Qatar,2580734.0
2019,Qatar,2638657.0
2020,Qatar,2794148.0
2021,Qatar,2504910.0
2022,Qatar,2657333.0
2023,Qatar,2656032.0
1985,Saudi Arabia,8151779.0
1986,Saudi Arabia,8628639.0
1987,Saudi Arabia,9130194.0
1988,Saudi Arabia,9629165.0
1989,Saudi Arabia,10128394.0
1990,Saudi Arabia,10640691.0
1991,Saudi Arabia,11160744.0
1992,Saudi Arabia,11686676.0
1993,Saudi Arabia,12215862.0
1994,Saudi Arabia,12750040.0
1995,Saudi Arabia,13289245.0
1996,Saudi Arabia,13831009.0
1997,Saudi Arabia,14374943.0
1998,Saudi Arabia,14922185.0
1999,Saudi Arabia,15472075.0
2000,Saudi Arabia,16177722.0
2001,Saudi Arabia,17041397.0
2002,Saudi Arabia,17910910.0
2003,Saudi Arabia,18786767.0
2004,Saudi Arabia,19669480.0
2005,Saudi Arabia,20559890.0
2006,Saudi Arabia,21459144.0
2007,Saudi Arabia,22368313.0
2008,Saudi Arabia,23287877.0
2009,Saudi Arabia,24217654.0
2010,Saudi Arabia,23978487.0
2011,Saudi Arabia,25091867.0
2012,Saudi Arabia,26168861.0
2013,Saudi Arabia,27624004.0
2014,Saudi Arabia,28309273.0
2015,Saudi Arabia,29816382.0
2016,Saudi Arabia,30954198.0
2017,Saudi Arabia,30977355.0
2018,Saudi Arabia,30196281.0
2019,Saudi Arabia,30063799.0
2020,Saudi Arabia,31552510.0
2021,Saudi Arabia,30784383.0
2022,Saudi Arabia,32175224.0
2023,Saudi Arabia,33264292.0
1985,Australia,15788312.0
1986,Australia,16018350.0
1987,Australia,16263874.0
1988,Australia,16532164.0
1989,Australia,16814416.0
1990,Australia,17065128.0
1991,Australia,17284036.0
1992,Australia,17478635.0
1993,Australia,17634808.0
1994,Australia,17805468.0
1995,Australia,18004882.0
1996,Australia,18224767.0
1997,Australia,18423037.0
1998,Australia,18607584.0
1999,Australia,18812264.0
2000,Australia,19028802.0
2001,Australia,19274701.0
2002,Australia,19495210.0
2003,Australia,19720737.0
2004,Australia,19932722.0
2005,Australia,20176844.0
2006,Australia,20450966.0
2007,Australia,20827622.0
2008,Australia,21249199.0
2009,Australia,21691653.0
2010,Australia,22031750.0
2011,Australia,22340024.0
2012,Australia,22733465.0
2013,Australia,23128129.0
2014,Australia,23475686.0
2015,Australia,23815995.0
2016,Australia,24190907.0
2017,Australia,24592588.0
2018,Australia,24963258.0
2019,Australia,25334826.0
2020,Australia,25649248.0
2021,Australia,25685412.0
2022,Australia,26014399.0
2023,Australia,26658948.0
1985,New Zealand,3247100.0
1986,New Zealand,3246300.0
1987,New Zealand,3274400.0
1988,New Zealand,3283400.0
1989,New Zealand,3299200.0
1990,New Zealand,3329800.0
1991,New Zealand,3495100.0
1992,New Zealand,3531700.0
1993,New Zealand,3572200.0
1994,New Zealand,3620000.0
1995,New Zealand,3673400.0
1996,New Zealand,3732000.0
1997,New Zealand,3781300.0
1998,New Zealand,3815000.0
1999,New Zealand,3835100.0
2000,New Zealand,3857700.0
2001,New Zealand,3880500.0
2002,New Zealand,3948500.0
2003,New Zealand,4027200.0
2004,New Zealand,4087500.0
2005,New Zealand,4133900.0
2006,New Zealand,4184600.0
2007,New Zealand,4223800.0
2008,New Zealand,4259800.0
2009,New Zealand,4302600.0
2010,New Zealand,4350700.0
2011,New Zealand,4384000.0
2012,New Zealand,4408100.0
2013,New Zealand,4442100.0
2014,New Zealand,4516500.0
2015,New Zealand,4609400.0
2016,New Zealand,4714100.0
2017,New Zealand,4813600.0
2018,New Zealand,4900600.0
2019,New Zealand,4979200.0
2020,New Zealand,5090200.0
2021,New Zealand,5111300.0
2022,New Zealand,5117200.0
2023,New Zealand,5223100.0
1985,Palau,13688.0
1986,Palau,14024.0
1987,Palau,14334.0
1988,Palau,14645.0
1989,Palau,14945.0
1990,Palau,15259.0
1991,Palau,15614.0
1992,Palau,15989.0
1993,Palau,16372.0
1994,Palau,16770.0
1995,Palau,17195.0
1996,Palau,17654.0
1997,Palau,18108.0
1998,Palau,18524.0
1999,Palau,18901.0
2000,Palau,19178.0
2001,Palau,19352.0
2002,Palau,19503.0
2003,Palau,19659.0
2004,Palau,19820.0
2005,Palau,19819.0
2006,Palau,19593.0
2007,Palau,19302.0
2008,Palau,19009.0
2009,Palau,18709.0
2010,Palau,18396.0
2011,Palau,18078.0
2012,Palau,17765.0
2013,Palau,17648.0
2014,Palau,17715.0
2015,Palau,17770.0
2016,Palau,17797.0
2017,Palau,17812.0
2018,Palau,17814.0
2019,Palau,17798.0
2020,Palau,17792.0
2021,Palau,17783.0
